
Generation,S37 Beneficial,S37 Detrimental,S37 Fitness
256,414.33,280.66,1.4768745323795458
257,414.94,280.57,1.4795726649889531
258,414.77,280.24,1.4807451247818901
259,414.68,280.14,1.4808682265641837
260,414.82,280.32,1.480422016576969
261,414.92,279.97,1.4826099129968298
262,415.3,280.28,1.4824263431667433
263,414.95,280.55,1.479596730320848
264,414.57,279.96,1.4814848670199097
265,414.11,280.13,1.4789631292524235
266,414.37,279.63,1.4825358193284617
267,415.41,279.03,1.4894587482726058
268,415.87,278.87,1.4919925652567319
269,415.82,278.46,1.4939918399765364
270,416.28,278.78,1.494013629230887
271,416.11,278.78,1.4933941558431016
272,416.8,278.22,1.4988913001219313
273,417.4,278.1,1.5015760850637612
274,417.01,277.61,1.502707143747378
275,416.76,278.2,1.4985951855779711
276,417.42,277.73,1.5036250913848503
277,417.16,277.31,1.5048124963173282
278,417.05,277.55,1.503020406310884
279,416.58,277.24,1.502976795442598
280,416.84,277.51,1.5024397828975002
281,416.49,277.46,1.5015354581604987
282,416.22,277.29,1.5014954730374803
283,415.82,277.27,1.5001508446492469
284,415.73,277.87,1.4964686418240407
285,415.6,277.93,1.4957947198898918
286,415.88,278.15,1.4956737007648757
287,416.35,278.53,1.4953599821379637
288,416.78,278.16,1.4989583326787095
289,416.05,278.18,1.4963537088888805
290,415.42,278.24,1.49358471364553
291,414.7,278.27,1.4907791320635015
292,414.12,278.48,1.4876008591805032
293,414.5,278.26,1.4901562084455173
294,414.38,278.37,1.4890508835013876
295,414.62,278.56,1.4888994200583021
296,414.5,278.3,1.4898421331691525
297,414.45,278.0,1.4912637464150313
298,414.77,278.39,1.4903872099251467
299,414.42,278.41,1.48905579666795
300,413.92,278.75,1.485483862561876
301,414.04,278.66,1.4863495063682999
302,413.74,278.4,1.4866515345998557
303,413.47,278.66,1.4842218071313733
304,413.06,278.7,1.48249783517482
305,412.51,278.48,1.4816436974313882
306,412.2,278.45,1.4807390856166662
307,412.2,278.78,1.4790408734643206
308,412.71,278.97,1.4799005711051942
309,412.39,279.19,1.4776649403082047
310,412.79,278.63,1.482130578760094
311,413.01,278.58,1.4831758721558292
312,412.88,278.38,1.483729987388805
313,413.01,278.55,1.4833297463526205
314,413.05,278.43,1.4841481324795183
315,413.08,278.58,1.4834743268353017
316,412.95,277.82,1.4871084957968048
